,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
716,Batna,35.5333,6.1667,7.8,240.0,1.4,25.0,0.2,1.4,"[0.0, 30.0]"
719,Constantine,36.3519,6.6122,8.1,23.5,1.8,14.1,0.25,1.55,"[0.0, 30.0]"
721,Batna,35.533333,6.166667,7.4,24.5,1.8,14.6,0.24,1.4,"[0.0, 30.0]"
722,Batna,35.55,6.17,7.8,20.0,1.6,15.0,0.3,1.4,"[0.0, 30.0]"
724,Oum El Bouaghi,35.85,7.45,7.5,45.6,1.65,21.4,0.34,1.45,"[0.0, 18.0]"
729,Constantine,36.35,6.62,8.2,21.5,2.1,24.8,0.44,1.45,"[0.0, 30.0]"
730,Wilaya de Constantine,36.35,6.62,8.5,40.0,2.5,20.0,2.0,1.4,120.0
731,Oum El Bouaghi,35.8747,7.1122,7.6,12.4,1.23,33.23,0.46,1.4,"[0.0, 30.0]"
738,Batna,35.5317,6.1743,8.4,47.3,1.52,21.4,0.34,1.45,"[50.0, 150.0]"
742,Constantine,36.3597,6.6125,8.45,15.8,1.45,22.5,1.85,1.35,"[0.0, 30.0]"
744,Batna,35.5333,6.1667,7.8,15.6,1.4,20.4,0.23,1.35,"[0.0, 30.0]"
752,Constantine,36.36,6.62,8.2,10.8,1.5,25.2,0.45,1.55,"[0.0, 30.0]"
753,Constantine,36.3576,6.6167,8.24,14.5,2.1,21.4,0.32,1.43,"[0.0, 30.0]"
755,Constantine,36.3472,6.6125,8.2,15.3,1.8,17.4,0.45,1.45,"[0.0, 20.0]"
757,Constantine,36.6333,6.6167,7.4,18.8,1.2,21.6,0.38,1.45,"[0.0, 30.0]"
760,Berriche,36.6667,4.3333,0.0,0.0,1.4,25.0,0.0,0.0,0
761,Constantine,36.36,6.6,7.7,23.4,2.8,24.8,0.32,1.42,"[0.0, 30.0]"
762,Constantine,36.362399,6.612599,8.3,12.6,1.2,13.8,0.3,1.45,"[0.0, 20.0]"
763,Batna,35.55,6.16,7.5,30.2,1.2,12.5,0.12,1.35,"[0.0, 30.0]"
765,Constantine,36.35,6.62,7.5,2.5,1.8,20.0,0.32,1.55,"[0.0, 30.0]"
768,Constantine,36.3619,6.6125,7.5,23.0,1.4,25.0,0.45,1.6,"[0.0, 30.0]"
